------
Drone: 1
id=0, command=command, response=ok, start_time=2023-07-18 19:52:56.613435, end_time=2023-07-18 19:52:56.637448, duration=0.024013
id=1, command=takeoff, response=error, start_time=2023-07-18 19:54:29.086786, end_time=2023-07-18 19:54:29.199803, duration=0.113017
id=2, command=go 20.0 0.0 0.020, response=out of range, start_time=2023-07-18 19:54:30.240267, end_time=2023-07-18 19:54:30.336801, duration=0.096534
id=3, command=go 1.479099678456592 66.10932475884245 0.020, response=out of range, start_time=2023-07-18 19:54:31.445393, end_time=2023-07-18 19:54:31.461474, duration=0.016081
id=4, command=go 68.55305466237942 -0.12861736334404839 0.020, response=out of range, start_time=2023-07-18 19:54:32.589920, end_time=2023-07-18 19:54:32.679021, duration=0.089101
id=5, command=go 65.98070739549838 1.1575562700964497 0.020, response=out of range, start_time=2023-07-18 19:54:33.797773, end_time=2023-07-18 19:54:33.805767, duration=0.007994
id=6, command=go 43.9871382636656 -24.308681672025713 0.020, response=out of range, start_time=2023-07-18 19:54:34.970221, end_time=2023-07-18 19:54:34.978133, duration=0.007912
id=7, command=go -0.8681672025723515 -67.13826366559486 0.020, response=out of range, start_time=2023-07-18 19:54:36.085805, end_time=2023-07-18 19:54:36.109979, duration=0.024174
id=8, command=go -67.42765273311898 -0.578778135048232 0.020, response=out of range, start_time=2023-07-18 19:54:37.186152, end_time=2023-07-18 19:54:37.306528, duration=0.120376
id=9, command=go -67.13826366559485 0.0 0.020, response=out of range, start_time=2023-07-18 19:54:38.292761, end_time=2023-07-18 19:54:38.421071, duration=0.12831
id=10, command=go -44.565916398713824 24.887459807073956 0.020, response=out of range, start_time=2023-07-18 19:54:39.407909, end_time=2023-07-18 19:54:39.415978, duration=0.008069
id=11, command=go 1.479099678456592 66.10932475884245 0.020, response=out of range, start_time=2023-07-18 19:54:40.508911, end_time=2023-07-18 19:54:40.564961, duration=0.05605
id=12, command=go 68.55305466237942 -0.12861736334404839 0.020, response=out of range, start_time=2023-07-18 19:54:41.622270, end_time=2023-07-18 19:54:41.694989, duration=0.072719
id=13, command=go 65.98070739549838 1.1575562700964497 0.020, response=out of range, start_time=2023-07-18 19:54:42.766729, end_time=2023-07-18 19:54:42.781748, duration=0.015019
id=14, command=go 43.9871382636656 -24.308681672025713 0.020, response=out of range, start_time=2023-07-18 19:54:43.872860, end_time=2023-07-18 19:54:43.945981, duration=0.073121
id=15, command=go -0.8681672025723515 -67.13826366559486 0.020, response=out of range, start_time=2023-07-18 19:54:45.056407, end_time=2023-07-18 19:54:45.081289, duration=0.024882
id=16, command=go -67.42765273311898 -0.578778135048232 0.020, response=out of range, start_time=2023-07-18 19:54:46.186772, end_time=2023-07-18 19:54:46.202776, duration=0.016004
id=17, command=go -67.13826366559485 0.0 0.020, response=out of range, start_time=2023-07-18 19:54:47.297639, end_time=2023-07-18 19:54:47.434524, duration=0.136885
id=18, command=go -44.565916398713824 24.887459807073956 0.020, response=out of range, start_time=2023-07-18 19:54:48.407364, end_time=2023-07-18 19:54:48.447535, duration=0.040171
id=19, command=go 1.479099678456592 66.10932475884245 0.020, response=error, start_time=2023-07-18 19:54:49.587017, end_time=2023-07-18 19:54:49.691135, duration=0.104118
id=20, command=go 68.55305466237942 -0.12861736334404839 0.020, response=out of range, start_time=2023-07-18 19:54:50.755395, end_time=2023-07-18 19:54:50.803380, duration=0.047985
id=21, command=go 65.98070739549838 1.1575562700964497 0.020, response=out of range, start_time=2023-07-18 19:54:51.928683, end_time=2023-07-18 19:54:52.032918, duration=0.104235
id=22, command=go 43.9871382636656 -24.308681672025713 0.020, response=out of range, start_time=2023-07-18 19:54:53.078100, end_time=2023-07-18 19:54:53.086169, duration=0.008069
id=23, command=go -0.8681672025723515 -67.13826366559486 0.020, response=out of range, start_time=2023-07-18 19:54:54.232126, end_time=2023-07-18 19:54:54.288107, duration=0.055981
id=24, command=go -67.42765273311898 -0.578778135048232 0.020, response=out of range, start_time=2023-07-18 19:54:55.372190, end_time=2023-07-18 19:54:55.412308, duration=0.040118
id=25, command=go -67.13826366559485 0.0 0.020, response=out of range, start_time=2023-07-18 19:54:56.486186, end_time=2023-07-18 19:54:56.502266, duration=0.01608
id=26, command=go -44.565916398713824 24.887459807073956 0.020, response=out of range, start_time=2023-07-18 19:54:57.662446, end_time=2023-07-18 19:54:57.678406, duration=0.01596
id=27, command=go 1.479099678456592 66.10932475884245 0.020, response=out of range, start_time=2023-07-18 19:54:58.788929, end_time=2023-07-18 19:54:58.812832, duration=0.023903
id=28, command=go 68.55305466237942 -0.12861736334404839 0.020, response=out of range, start_time=2023-07-18 19:54:59.941500, end_time=2023-07-18 19:55:00.029565, duration=0.088065
id=29, command=go 65.98070739549838 1.1575562700964497 0.020, response=out of range, start_time=2023-07-18 19:55:01.079589, end_time=2023-07-18 19:55:01.095500, duration=0.015911
id=30, command=go 43.9871382636656 -24.308681672025713 0.020, response=out of range, start_time=2023-07-18 19:55:02.249821, end_time=2023-07-18 19:55:02.265827, duration=0.016006
id=31, command=go -0.8681672025723515 -67.13826366559486 0.020, response=out of range, start_time=2023-07-18 19:55:03.380475, end_time=2023-07-18 19:55:03.388471, duration=0.007996
id=32, command=go -67.42765273311898 -0.578778135048232 0.020, response=out of range, start_time=2023-07-18 19:55:04.530047, end_time=2023-07-18 19:55:04.626023, duration=0.095976
id=33, command=go -67.13826366559485 0.0 0.020, response=error, start_time=2023-07-18 19:55:05.685679, end_time=2023-07-18 19:55:05.693678, duration=0.007999
id=34, command=go -44.565916398713824 24.887459807073956 0.020, response=out of range, start_time=2023-07-18 19:55:06.820564, end_time=2023-07-18 19:55:06.884714, duration=0.06415
id=35, command=go 1.479099678456592 66.10932475884245 0.020, response=out of range, start_time=2023-07-18 19:55:07.936393, end_time=2023-07-18 19:55:08.016808, duration=0.080415
id=36, command=go 68.55305466237942 -0.12861736334404839 0.020, response=out of range, start_time=2023-07-18 19:55:09.066287, end_time=2023-07-18 19:55:09.138333, duration=0.072046
id=37, command=go 65.98070739549838 1.1575562700964497 0.020, response=out of range, start_time=2023-07-18 19:55:10.213569, end_time=2023-07-18 19:55:10.229563, duration=0.015994
id=38, command=go 43.9871382636656 -24.308681672025713 0.020, response=out of range, start_time=2023-07-18 19:55:11.347063, end_time=2023-07-18 19:55:11.395731, duration=0.048668
id=39, command=go -0.8681672025723515 -67.13826366559486 0.020, response=out of range, start_time=2023-07-18 19:55:12.428695, end_time=2023-07-18 19:55:12.516963, duration=0.088268
id=40, command=go -67.42765273311898 -0.578778135048232 0.020, response=out of range, start_time=2023-07-18 19:55:13.574484, end_time=2023-07-18 19:55:13.590480, duration=0.015996
id=41, command=go -67.13826366559485 0.0 0.020, response=error, start_time=2023-07-18 19:55:14.702203, end_time=2023-07-18 19:55:14.718262, duration=0.016059
id=42, command=go -44.565916398713824 24.887459807073956 0.020, response=out of range, start_time=2023-07-18 19:55:15.840112, end_time=2023-07-18 19:55:15.904204, duration=0.064092
id=43, command=go 1.479099678456592 66.10932475884245 0.020, response=out of range, start_time=2023-07-18 19:55:16.978124, end_time=2023-07-18 19:55:17.018138, duration=0.040014
id=44, command=go 68.55305466237942 -0.12861736334404839 0.020, response=out of range, start_time=2023-07-18 19:55:18.167852, end_time=2023-07-18 19:55:18.183920, duration=0.016068
id=45, command=go 65.98070739549838 1.1575562700964497 0.020, response=out of range, start_time=2023-07-18 19:55:19.280119, end_time=2023-07-18 19:55:19.374290, duration=0.094171
id=46, command=go 43.9871382636656 -24.308681672025713 0.020, response=out of range, start_time=2023-07-18 19:55:20.477202, end_time=2023-07-18 19:55:20.603753, duration=0.126551
id=47, command=go -0.8681672025723515 -67.13826366559486 0.020, response=out of range, start_time=2023-07-18 19:55:21.624657, end_time=2023-07-18 19:55:21.734711, duration=0.110054
id=48, command=go -67.42765273311898 -0.578778135048232 0.020, response=error, start_time=2023-07-18 19:55:22.727751, end_time=2023-07-18 19:55:22.853261, duration=0.12551
id=49, command=go -67.13826366559485 0.0 0.020, response=out of range, start_time=2023-07-18 19:55:23.891456, end_time=2023-07-18 19:55:23.985811, duration=0.094355
id=50, command=go -44.565916398713824 24.887459807073956 0.020, response=out of range, start_time=2023-07-18 19:55:25.008588, end_time=2023-07-18 19:55:25.118510, duration=0.109922
