Hurray! Here we start
------
Drone: 1
id=0, command=command, response=None, start_time=2023-08-08 17:57:31.103600, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-08-08 17:57:36.174179, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-08-08 17:57:41.247430, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-08-08 17:57:46.308823, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-08-08 17:57:51.377875, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-08-08 17:57:56.499396, end_time=None, duration=None
id=6, command=command, response=None, start_time=2023-08-08 17:58:01.512259, end_time=None, duration=None
id=7, command=command, response=None, start_time=2023-08-08 17:58:06.529219, end_time=None, duration=None
id=8, command=command, response=None, start_time=2023-08-08 17:58:11.558823, end_time=None, duration=None
id=9, command=command, response=None, start_time=2023-08-08 17:58:16.580657, end_time=None, duration=None
id=10, command=command, response=None, start_time=2023-08-08 17:58:21.656171, end_time=None, duration=None
id=11, command=command, response=None, start_time=2023-08-08 17:58:26.724851, end_time=None, duration=None
id=12, command=command, response=None, start_time=2023-08-08 17:58:31.827022, end_time=None, duration=None
id=13, command=command, response=None, start_time=2023-08-08 17:58:36.900287, end_time=None, duration=None
id=14, command=command, response=None, start_time=2023-08-08 17:58:41.975792, end_time=None, duration=None
id=15, command=command, response=None, start_time=2023-08-08 17:58:47.046780, end_time=None, duration=None
id=16, command=command, response=None, start_time=2023-08-08 17:58:52.158389, end_time=None, duration=None
------
Drone: 2
id=0, command=command, response=None, start_time=2023-08-08 17:57:31.103600, end_time=None, duration=None
id=1, command=command, response=None, start_time=2023-08-08 17:57:36.174179, end_time=None, duration=None
id=2, command=command, response=None, start_time=2023-08-08 17:57:41.247430, end_time=None, duration=None
id=3, command=command, response=None, start_time=2023-08-08 17:57:46.310565, end_time=None, duration=None
id=4, command=command, response=None, start_time=2023-08-08 17:57:51.377875, end_time=None, duration=None
id=5, command=command, response=None, start_time=2023-08-08 17:57:56.499396, end_time=None, duration=None
